name of current molecule = C2H5OH;v=0;
current component =          1
total number of components =          1
          Frequency [MHz]:                          tau:
          9.9438414062E+04        5.639584678472515E-004
          9.9438906250E+04        7.450001139875572E-004
          9.9439398438E+04        1.049100854629232E-003
          9.9439890625E+04        1.484462802179770E-003
          9.9440382812E+04        1.989186365087053E-003
          9.9440875000E+04        1.979612500443444E-003
          9.9441367188E+04        1.276437571157780E-003
          9.9441859375E+04        5.117628260003569E-004
          9.9442351562E+04        1.262938308541470E-004
          9.9442843750E+04        1.913853029895243E-005
          9.9443335938E+04        1.779957714178934E-006
          9.9443828125E+04        1.015852111284864E-007
          9.9444320312E+04        3.557609965183042E-009
          9.9444812500E+04        7.645225606718179E-011
          9.9445304688E+04        1.008151346516146E-012
          9.9445796875E+04        8.157638662482680E-015
          9.9446289062E+04        4.050479704379409E-017
          9.9446781250E+04        1.234103868607611E-019
          9.9447273438E+04        2.307279581265786E-022
          9.9447765625E+04        2.647706036850726E-025
          9.9448257812E+04        1.014716761742302E-025
          9.9448750000E+04        8.769298819029201E-023
          9.9449242188E+04        4.659601742640369E-020
          9.9449734375E+04        1.519491807724548E-017
          9.9450226562E+04        3.040979976740671E-015
          9.9450718750E+04        3.735032557694564E-013
          9.9451210938E+04        2.815404865567342E-011
          9.9451703125E+04        1.302425694520503E-009
          9.9452195312E+04        3.697691609525919E-008
          9.9452687500E+04        6.442791155860401E-007
          9.9453179688E+04        6.889426219807304E-006
          9.9453671875E+04        4.521241309027640E-005
          9.9454164062E+04        1.820949719094612E-004
          9.9454656250E+04        4.500946541472419E-004
          9.9455148438E+04        6.827715071857274E-004
          9.9455640625E+04        6.356419606572181E-004
          9.9456132812E+04        3.631746233306981E-004
          9.9456625000E+04        1.273499096457594E-004
          9.9457117188E+04        2.750680784455897E-005
          9.9457609375E+04        5.102176419735783E-006
          9.9458101562E+04        1.345304435821013E-005
          9.9458593750E+04        7.168757533538425E-005
          9.9459085938E+04        2.395806375200241E-004
          9.9459578125E+04        4.915097764050906E-004
          9.9460070312E+04        6.188696939800713E-004
          9.9460562500E+04        4.782468259476051E-004
          9.9461054688E+04        2.268249413924125E-004
          9.9461546875E+04        6.602645759941223E-005
