    % Trans. freq. (MHz):    Doppler-shift freq. (MHz):                Intensity (K):              Integrated Int.:                    E_low (K):                         g_up:           Einstein A (s^(-1):     Molecule name:
    9.716412870000000E+04         9.714558991420560E+04         0.000000000000000E+00         0.000000000000000E+00         2.366871402523000E+00         7.000000000000000E+00         3.726710000000000E-06     C2H5CN;v=0;
    9.568977559999999E+04         9.567151811880506E+04         0.000000000000000E+00         0.000000000000000E+00         2.435848865921000E+00         7.000000000000000E+00         3.673950000000000E-06     C2H5CN;v=0;
    9.278679640000001E+04         9.276909280335356E+04         0.000000000000000E+00         0.000000000000000E+00         2.575169184498000E+00         7.000000000000000E+00         1.836350000000000E-08     C2H5CN;v=0;
    1.069056947000000E+05         1.068852972364426E+05         0.000000000000000E+00         0.000000000000000E+00         3.620646362041000E+00         9.000000000000000E+00         4.215300000000000E-06     C2H5CN;v=0;
    1.039200880000000E+05         1.039002601862076E+05         0.000000000000000E+00         0.000000000000000E+00         3.758592656223000E+00         9.000000000000000E+00         4.127840000000000E-06     C2H5CN;v=0;
    9.285665040000000E+04         9.283893347530378E+04         0.000000000000000E+00         0.000000000000000E+00         4.289554529214000E+00         9.000000000000000E+00         3.304620000000000E-08     C2H5CN;v=0;
    9.298992920000000E+04         9.297218684588702E+04         0.000000000000000E+00         0.000000000000000E+00         6.429861538538000E+00         1.100000000000000E+01         5.140410000000000E-08     C2H5CN;v=0;
    9.321653620000000E+04         9.319875060957452E+04         0.000000000000000E+00         0.000000000000000E+00         8.994339230597001E+00         1.300000000000000E+01         7.340480000000000E-08     C2H5CN;v=0;
    9.357115150000001E+04         9.355329824944960E+04         0.000000000000000E+00         0.000000000000000E+00         1.198094743094900E+01         1.500000000000000E+01         9.902870000000000E-08     C2H5CN;v=0;
    9.394930600000000E+04         9.393138059807678E+04         0.000000000000000E+00         0.000000000000000E+00         1.538741288457400E+01         1.900000000000000E+01         4.374160000000000E-06     C2H5CN;v=0;
    9.409206400000000E+04         9.407411136004132E+04         0.000000000000000E+00         0.000000000000000E+00         1.538741288457400E+01         1.700000000000000E+01         1.282810000000000E-07     C2H5CN;v=0;
    1.058094911000000E+05         1.057893027906233E+05         0.000000000000000E+00         0.000000000000000E+00         1.696986886706600E+01         1.500000000000000E+01         7.107060000000000E-09     C2H5CN;v=0;
    1.084788128000000E+05         1.084581151876132E+05         0.000000000000000E+00         0.000000000000000E+00         1.903787629537100E+01         1.100000000000000E+01         5.155790000000000E-07     C2H5CN;v=0;
    1.084727810000000E+05         1.084520845384726E+05         0.000000000000000E+00         0.000000000000000E+00         1.903816548794000E+01         1.100000000000000E+01         5.154310000000000E-07     C2H5CN;v=0;
    9.481944100000001E+04         9.480134957748263E+04         0.000000000000000E+00         0.000000000000000E+00         1.921130982693800E+01         1.900000000000000E+01         1.610880000000000E-07     C2H5CN;v=0;
    1.010916760000000E+05         1.010723878434340E+05         2.053159682030556E+00         6.646549023363291E+01         1.921130982693800E+01         2.100000000000000E+01         5.595430000000000E-06     C2H5CN;v=0;
    9.154911210000000E+04         9.153164465186253E+04         0.000000000000000E+00         0.000000000000000E+00         2.092723609325300E+01         2.100000000000000E+01         6.237720000000000E-05     C2H5CN;v=0;
    9.504381960000000E+04         9.502568536634588E+04         0.000000000000000E+00         0.000000000000000E+00         2.092723609325300E+01         1.700000000000000E+01         7.406060000000000E-09     C2H5CN;v=0;
    9.950223850000001E+04         9.948325360598310E+04         1.351675578984295E-01         4.247411632982541E+00         2.204717388285300E+01         1.300000000000000E+01         5.763380000000000E-07     C2H5CN;v=0;
    9.948716110000000E+04         9.946817908273084E+04         1.297605570614655E-01         4.335429026005794E+00         2.204789614489100E+01         1.300000000000000E+01         5.761190000000000E-07     C2H5CN;v=0;
    9.579332399999999E+04         9.577504676190883E+04         0.000000000000000E+00         0.000000000000000E+00         2.345015782028500E+01         2.100000000000000E+01         1.974720000000000E-07     C2H5CN;v=0;
    9.691976200000000E+04         9.690126983904511E+04         0.000000000000000E+00         0.000000000000000E+00         2.345015782028500E+01         2.300000000000000E+01         7.492280000000000E-05     C2H5CN;v=0;
    1.082103809000000E+05         1.081897345040607E+05         0.000000000000000E+00         0.000000000000000E+00         2.345015782028500E+01         2.300000000000000E+01         7.059300000000000E-06     C2H5CN;v=0;
    9.045334940000001E+04         9.043609102192006E+04         0.000000000000000E+00         0.000000000000000E+00         2.387663628849600E+01         2.100000000000000E+01         5.836170000000000E-05     C2H5CN;v=0;
    9.544247900000001E+04         9.542426870266558E+04         0.000000000000000E+00         0.000000000000000E+00         2.406291658846400E+01         2.300000000000000E+01         7.111790000000000E-05     C2H5CN;v=0;
    1.103232795000000E+05         1.103022299658339E+05         0.000000000000000E+00         0.000000000000000E+00         2.406291658846400E+01         1.900000000000000E+01         9.096920000000000E-09     C2H5CN;v=0;
    1.006142810000000E+05         1.005950839297615E+05         2.685640043823311E+01         8.767633499089077E+02         2.532087692700300E+01         2.300000000000000E+01         8.329080000000000E-05     C2H5CN;v=0;
    9.051563830000001E+04         9.049836803728125E+04         0.000000000000000E+00         0.000000000000000E+00         2.548700870589500E+01         1.500000000000000E+01         5.473790000000000E-07     C2H5CN;v=0;
    9.048247680000000E+04         9.046521286445110E+04         0.000000000000000E+00         0.000000000000000E+00         2.548859566810200E+01         1.500000000000000E+01         5.468019999999999E-07     C2H5CN;v=0;
    9.817757399999999E+04         9.815884185019789E+04         0.000000000000000E+00         0.000000000000000E+00         2.804748662013400E+01         2.300000000000000E+01         7.547659999999999E-05     C2H5CN;v=0;
