    % Trans. freq. (MHz):    Doppler-shift freq. (MHz):                Intensity (K):              Integrated Int.:                    E_low (K):                         g_up:           Einstein A (s^(-1):     Molecule name:
    9.674137500000000E+04         9.672291687504611E+04         0.000000000000000E+00         0.000000000000000E+00         2.321499822108000E+00         2.000000000000000E+01         3.407540000000000E-06     CH3OH;v=0;
    9.673936199999999E+04         9.672090425912381E+04         0.000000000000000E+00         0.000000000000000E+00         7.898449026063000E+00         2.000000000000000E+01         2.557490000000000E-06     CH3OH;v=0;
    1.088939630000000E+05         1.088731861775104E+05         0.000000000000000E+00         0.000000000000000E+00         7.898449026063000E+00         4.000000000000000E+00         1.470570000000000E-05     CH3OH;v=0;
    9.674455000000000E+04         9.672609126926036E+04         0.000000000000000E+00         0.000000000000000E+00         1.544621681237300E+01         2.000000000000000E+01         3.407090000000000E-06     CH3OH;v=0;
    9.591430899999999E+04         9.589600867813265E+04         0.000000000000000E+00         0.000000000000000E+00         1.684069618624600E+01         2.000000000000000E+01         2.493760000000000E-06     CH3OH;v=0;
    9.758280400000000E+04         9.756418533151835E+04         0.000000000000000E+00         0.000000000000000E+00         1.688073568874700E+01         2.000000000000000E+01         2.626180000000000E-06     CH3OH;v=0;
    1.070138030000000E+05         1.069933849095236E+05         0.000000000000000E+00         0.000000000000000E+00         2.321243721226000E+01         2.800000000000000E+01         6.131910000000000E-06     CH3OH;v=0;
    9.675550999999999E+04         9.673704917810700E+04         0.000000000000000E+00         0.000000000000000E+00         2.336733220526200E+01         2.000000000000000E+01         2.624410000000000E-06     CH3OH;v=0;
    1.011025470000000E+05         1.010832567692618E+05         1.085483365550129E-01         2.568355331074429E-01         2.801083829616600E+01         2.000000000000000E+01         2.544430000000000E-10     CH3OH;v=0;
    1.010970690000000E+05         1.010777798144569E+05         5.203569258109966E-02         1.689427679966605E+00         3.497603124914799E+01         2.800000000000000E+01         1.295660000000000E-09     CH3OH;v=0;
    9.240949000000001E+04         9.239185839291001E+04         0.000000000000000E+00         0.000000000000000E+00         3.982789986663199E+01         3.600000000000000E+01         5.194950000000000E-10     CH3OH;v=0;
    1.056028080000000E+05         1.055826591254823E+05         0.000000000000000E+00         0.000000000000000E+00         4.039133619472200E+01         3.600000000000000E+01         2.883750000000000E-10     CH3OH;v=0;
    1.011016470000000E+05         1.010823569409806E+05         2.032431685216360E-01         6.602307057103871E+00         4.426283049314399E+01         3.600000000000000E+01         3.982970000000000E-09     CH3OH;v=0;
    1.011268000000000E+05         1.011075051418218E+05         5.546840386073070E-01         1.773096047416424E+01         5.587112955924800E+01         4.400000000000000E+01         9.578120000000000E-09     CH3OH;v=0;
    9.961091300000000E+04         9.959190737103384E+04         1.053644653847559E-02         3.364628141550134E-01         5.706897237389100E+01         5.200000000000000E+01         1.495380000000000E-10     CH3OH;v=0;
    1.011853820000000E+05         1.011660759644546E+05         1.276934506722434E+00         4.085990665145830E+01         6.980079320317400E+01         5.200000000000000E+01         1.986480000000000E-08     CH3OH;v=0;
    9.516944000000000E+04         9.515128179814157E+04         0.000000000000000E+00         0.000000000000000E+00         7.897085936312401E+01         6.800000000000000E+01         4.262040000000000E-06     CH3OH;v=0;
    1.012933400000000E+05         1.012740133662126E+05         2.475339541217632E+00         8.336607970101687E+01         8.605165884402500E+01         6.000000000000000E+01         3.729290000000000E-08     CH3OH;v=0;
    1.112895150000000E+05         1.112682811093929E+05         0.000000000000000E+00         0.000000000000000E+00         9.737479389432900E+01         6.000000000000000E+01         2.497730000000000E-06     CH3OH;v=0;
    1.014697070000000E+05         1.014503467156249E+05         0.000000000000000E+00         0.000000000000000E+00         1.046235293704480E+02         6.800000000000000E+01         6.521310000000000E-08     CH3OH;v=0;
    1.114059470000000E+05         1.113846908943231E+05         0.000000000000000E+00         0.000000000000000E+00         1.046235293704480E+02         7.600000000000000E+01         4.008170000000000E-10     CH3OH;v=0;
    1.017371820000000E+05         1.017177706817526E+05         0.000000000000000E+00         0.000000000000000E+00         1.255161774569410E+02         7.600000000000000E+01         1.081330000000000E-07     CH3OH;v=0;
    9.454176500000000E+04         9.452372655769202E+04         0.000000000000000E+00         0.000000000000000E+00         1.267419669206400E+02         6.800000000000000E+01         1.292990000000000E-06     CH3OH;v=0;
    1.021226600000000E+05         1.021031751330658E+05         0.000000000000000E+00         0.000000000000000E+00         1.487293311761630E+02         8.400000000000000E+01         1.721160000000000E-07     CH3OH;v=0;
    1.043004140000000E+05         1.042805136205155E+05         0.000000000000000E+00         0.000000000000000E+00         1.536304243974440E+02         9.200000000000000E+01         1.959770000000000E-06     CH3OH;v=0;
    8.950580800000000E+04         8.948873041155181E+04         0.000000000000000E+00         0.000000000000000E+00         1.671621259747390E+02         6.800000000000000E+01         7.639750000000000E-07     CH3OH;v=0;
    1.026580600000000E+05         1.026384729794619E+05         0.000000000000000E+00         0.000000000000000E+00         1.742626711213960E+02         9.200000000000000E+01         2.652930000000000E-07     CH3OH;v=0;
    1.033811370000000E+05         1.033614120173375E+05         0.000000000000000E+00         0.000000000000000E+00         2.021158188963930E+02         1.000000000000000E+02         3.984360000000000E-07     CH3OH;v=0;
    1.044104800000000E+05         1.043905586200699E+05         0.000000000000000E+00         0.000000000000000E+00         2.029794414274120E+02         8.400000000000000E+01         1.565260000000000E-06     CH3OH;v=0;
    1.043548500000000E+05         1.043349392341995E+05         0.000000000000000E+00         0.000000000000000E+00         2.029820959562170E+02         8.400000000000000E+01         1.562760000000000E-06     CH3OH;v=0;
